title,Release_year,cluster_tfidf_first,cluster_tfidf_second,cluster_lda_major_first,cluster_lda_major_second,cluster_lda_major_second_finer
Dragon: The Bruce Lee Story,1993,11,12,10,18,2
Ethan Frome,1993,21,5,1,0,1
Excessive Force,1993,5,6,11,10,7
Extreme Justice,1993,9,7,16,5,37
Falling Down,1993,16,17,16,11,2
A Far Off Place,1993,16,10,6,18,2
Fearless,1993,14,16,6,18,2
Fire on the Amazon,1993,5,5,4,22,21
Fire in the Sky,1993,0,17,6,18,2
The Firm,1993,13,18,11,11,16
Flesh and Bone,1993,18,10,10,6,39
For Love or Money,1993,10,17,2,18,2
Free Willy,1993,19,17,19,18,18
The Fugitive,1993,5,6,6,18,2
Geronimo: An American Legend,1993,2,7,18,18,2
Ghost in the Machine,1993,20,2,13,18,2
The Good Son,1993,16,3,14,11,2
Groundhog Day,1993,0,17,21,18,2
Grumpy Old Men,1993,18,3,18,18,18
Guilty as Sin,1993,5,6,6,18,2
Happily Ever After,1993,15,9,21,18,2
Hard Target,1993,2,20,21,14,2
Heart and Souls,1993,19,17,17,7,2
Heaven & Earth,1993,12,22,13,11,37
Hocus Pocus,1993,19,4,16,18,16
Homeward Bound: The Incredible Journey,1993,0,17,21,9,2
Hot Shots! Part Deux,1993,2,13,13,5,2
House of Cards,1993,14,22,18,16,11
A House in the Hills,1993,18,10,21,14,17
The House of the Spirits,1993,18,10,6,6,2
In the Line of Fire,1993,19,4,6,13,2
Indecent Proposal,1993,10,0,6,18,2
Indian Summer,1993,9,7,18,6,15
Jack the Bear,1993,8,8,11,18,33
Jason Goes to Hell: The Final Friday,1993,6,20,6,5,23
Josh and S.A.M.,1993,22,19,17,8,2
Joshua Tree,1993,6,20,2,5,32
The Joy Luck Club,1993,15,9,6,18,2
Judgment Night,1993,20,4,21,13,2
Jurassic Park,1993,9,7,8,18,2
Kalifornia,1993,16,6,6,18,2
King of the Hill,1993,11,12,16,21,26
Last Action Hero,1993,11,12,4,14,2
Leprechaun,1993,6,20,20,18,2
Life with Mikey,1993,13,18,16,9,4
Loaded Weapon 1,1993,5,6,17,18,20
Lost in Yonkers,1993,13,18,13,7,37
M. Butterfly,1993,11,12,12,5,23
Mad Dog and Glory,1993,21,5,17,2,18
Made in America,1993,15,9,8,20,7
Malice,1993,20,2,6,18,2
The Man Without a Face,1993,22,19,18,5,2
Man's Best Friend,1993,16,20,17,18,2
Manhattan Murder Mystery,1993,16,3,6,18,2
Matinee,1993,11,12,6,22,5
Me and the Kid,1993,7,3,6,12,7
Menace II Society,1993,16,20,4,12,44
The Meteor Man,1993,3,14,18,7,2
Money for Nothing,1993,13,18,20,2,30
Mr. Jones,1993,3,14,1,18,32
Mr. Nanny,1993,19,3,11,18,37
Mrs. Doubtfire,1993,10,17,6,18,2
Much Ado About Nothing,1993,21,3,18,17,2
The Music of Chance,1993,22,21,7,18,2
My Life,1993,12,22,6,18,2
Naked in New York,1993,8,3,18,13,37
Needful Things,1993,16,21,6,18,2
The Nightmare Before Christmas,1993,21,5,6,18,10
Nowhere to Run,1993,18,10,21,18,42
Once Upon a Forest,1993,9,7,21,18,17
Only the Strong,1993,1,15,17,18,2
The Pelican Brief,1993,6,20,6,18,2
A Perfect World,1993,16,4,6,0,2
Philadelphia,1993,0,17,11,18,2
The Piano,1993,0,17,11,18,2
Poetic Justice,1993,10,21,9,18,2
Point of No Return,1993,6,20,11,18,2
Posse,1993,6,20,20,18,19
Public Access,1993,3,14,18,22,1
Puppet Master 4,1993,19,13,18,18,2
The Real McCoy,1993,7,21,6,5,15
Red Rock West,1993,13,18,6,12,28
The Remains of the Day,1993,10,0,12,5,12
Return of the Living Dead 3,1993,2,20,8,18,2
Rich in Love,1993,12,22,14,8,39
Rising Sun,1993,6,20,16,5,30
Robin Hood: Men in Tights,1993,19,4,21,5,2
RoboCop 3,1993,2,13,13,5,10
Romeo Is Bleeding,1993,16,20,16,6,26
Rookie of the Year,1993,8,8,9,18,2
Roosters,1993,12,22,10,6,14
Ruby Cairo,1993,13,18,20,18,2
Rudy,1993,8,8,8,18,2
The Sandlot,1993,0,17,6,18,38
Schindler's List,1993,19,13,17,5,2
Short Cuts,1993,15,9,6,18,2
Sister Act 2: Back in the Habit,1993,1,15,9,18,2
Six Degrees of Separation,1993,13,18,17,17,2
Sleepless in Seattle,1993,10,17,9,9,16
Sliver,1993,22,0,0,6,15
Sniper,1993,6,20,16,16,2
So I Married an Axe Murderer,1993,19,17,21,18,12
Sommersby,1993,3,14,1,12,2
Son in Law,1993,4,11,8,17,2
Son of the Pink Panther,1993,4,11,6,8,2
Striking Distance,1993,20,4,6,18,2
Sunset Grill,1993,20,2,16,19,9
Super Mario Bros.,1993,4,11,2,0,2
Suture,1993,5,6,1,4,13
Swing Kids,1993,4,11,10,18,2
Teenage Mutant Ninja Turtles III,1993,17,1,1,5,2
The Temp,1993,10,17,6,18,2
The Thing Called Love,1993,10,17,11,6,16
This Boy's Life,1993,1,15,6,18,42
The Three Musketeers,1993,6,13,21,11,2
Three of Hearts,1993,21,0,18,17,14
Tom and Jerry: The Movie,1993,18,3,20,11,2
Tombstone,1993,6,20,2,4,2
Totally F***ed Up,1993,11,12,7,10,30
True Romance,1993,6,20,7,6,2
Twenty Bucks,1993,20,3,6,5,2
Undercover Blues,1993,8,8,11,7,30
Untamed Heart,1993,21,5,12,7,27
The Vanishing,1993,7,3,20,22,45
Warlock: The Armageddon,1993,14,11,13,18,37
Wayne's World 2,1993,19,13,17,12,28
We're Back! A Dinosaur's Story,1993,0,17,16,18,2
The Wedding Banquet,1993,4,0,6,0,2
Weekend at Bernie's II,1993,13,18,10,13,18
What's Eating Gilbert Grape,1993,12,22,11,18,17
What's Love Got to Do with It,1993,7,21,5,2,2
White Wolves: A Cry in the Wild II,1993,7,21,5,1,18
Who's the Man?,1993,5,6,16,5,2
Woman of Desire,1993,20,2,13,11,31
Wrestling Ernest Hemingway,1993,7,21,2,11,10
Younger and Younger,1993,14,16,12,16,14
3 Chains o' Gold,1994,11,12,11,8,4
3 Ninjas Kick Back,1994,19,13,16,18,2
8 Seconds,1994,21,5,17,17,2
Above the Rim,1994,8,8,20,18,2
Abraham,1994,7,21,4,0,11
Ace Ventura: Pet Detective,1994,20,2,6,5,2
The Air Up There,1994,8,16,22,18,2
Airheads,1994,8,8,16,18,18
Aladdin: The Return of Jafar,1994,19,13,13,5,0
Alien Nation: Dark Horizon,1994,7,21,10,5,40
Amateur,1994,20,2,21,18,2
Andre,1994,0,3,6,18,2
Angels in the Outfield,1994,4,11,1,18,2
Angie,1994,21,5,19,18,23
Another Midnight Run,1994,13,18,14,3,7
Baby's Day Out,1994,19,13,6,18,2
Bad Girls,1994,13,3,20,5,25
Barcelona,1994,11,12,6,0,8
Beretta's Island,1994,8,8,10,6,39
Beverly Hills Cop III,1994,16,19,11,18,29
The Birds II: Land's End,1994,3,14,12,21,11
Black Beauty,1994,3,14,6,5,2
Blank Check,1994,13,18,1,18,2
Blankman,1994,20,2,6,5,2
Blind Justice,1994,12,22,1,8,42
Blink,1994,5,6,18,18,23
Blown Away,1994,6,20,2,8,2
Blue Chips,1994,1,15,20,18,2
Blue Sky,1994,22,3,6,18,2
Brainscan,1994,5,6,17,18,17
Breathing Lessons,1994,1,15,12,0,42
Bullets over Broadway,1994,8,8,13,19,21
Cabin Boy,1994,3,14,21,18,2
Camp Nowhere,1994,13,18,6,18,15
"Car 54, Where Are You?",1994,22,19,16,3,23
Chariots of Fur,1994,19,13,15,18,30
The Chase,1994,22,19,2,18,18
Chasers,1994,19,18,6,18,2
China Moon,1994,22,19,8,18,2
Cinderella,1994,3,14,4,18,2
City Slickers II: The Legend of Curly's Gold,1994,14,16,13,18,2
"Class of Nuke 'Em High 3: The Good, the Bad and the Subhumanoid",1994,7,21,6,16,29
"Clean, Shaven",1994,22,19,8,20,2
Clean Slate,1994,0,17,16,5,2
Clear and Present Danger,1994,5,6,16,6,2
Clerks,1994,0,17,6,18,2
The Client,1994,6,20,11,11,2
Clifford,1994,0,17,1,18,2
Cobb,1994,22,19,11,13,2
Color of Night,1994,5,6,20,6,2
Confessions of a Sorority Girl,1994,15,9,6,18,2
Cool and the Crazy,1994,10,17,8,20,5
Cops and Robbersons,1994,20,2,2,19,20
"Corrina, Corrina",1994,12,22,18,18,2
The Cowboy Way,1994,5,6,2,20,11
Crooklyn,1994,15,9,20,5,18
The Crow,1994,6,20,13,18,29
Cyborg 3: The Recycler,1994,3,14,21,7,25
D2: The Mighty Ducks,1994,8,8,6,18,2
Deadly Target,1994,20,2,21,18,2
Death and the Maiden,1994,7,21,6,2,2
Death Wish V: The Face of Death,1994,6,20,21,18,2
Disclosure,1994,10,17,6,18,33
Double Dragon,1994,20,4,21,18,2
Dream Lover,1994,10,21,1,18,2
Drop Zone,1994,19,13,19,18,2
Dumb and Dumber,1994,0,4,5,18,2
Ed Wood,1994,11,12,4,18,18
Emmanuelle in Space,1994,21,5,5,18,8
Even Cowgirls Get the Blues,1994,21,5,5,0,30
Exit to Eden,1994,20,2,9,10,2
F.T.W.,1994,10,0,14,6,15
The Fantastic Four,1994,10,17,10,14,18
Fast Getaway II,1994,7,21,9,16,44
The Favor,1994,0,0,17,8,0
Fear of a Black Hat,1994,9,7,1,8,2
The Flintstones,1994,13,18,17,12,32
The Force,1994,20,2,16,17,27
Forrest Gump,1994,0,21,13,18,32
Fresh,1994,16,17,6,20,37
The Getaway,1994,13,18,13,13,7
Getting Even with Dad,1994,14,16,16,5,2
Go Fish,1994,15,0,17,18,1
Greedy,1994,13,18,17,17,18
Guarding Tess,1994,0,17,6,18,2
Gunmen,1994,13,18,4,18,2
Hail Caesar,1994,4,11,21,17,17
Hated: GG Allin and the Murder Junkies,1994,7,21,17,6,2
The Hidden II,1994,7,21,3,18,24
Highlander III: The Sorcerer,1994,19,16,6,18,17
Holy Matrimony,1994,13,18,20,22,2
House Party 3,1994,8,8,16,5,2
The Hudsucker Proxy,1994,10,17,6,18,2
I Don't Hate Las Vegas Anymore,1994,11,12,12,11,30
I Like It Like That,1994,15,9,18,18,2
I'll Do Anything,1994,10,0,6,18,18
I.Q.,1994,21,5,17,18,2
Immortal Beloved,1994,7,21,6,5,2
In Search of Dr. Seuss,1994,0,17,20,18,18
In the Army Now,1994,2,13,16,16,2
The Inkwell,1994,12,22,21,18,2
Intersection,1994,0,17,9,0,13
Interview with the Vampire,1994,2,20,16,18,17
Iron Will,1994,4,11,4,18,20
Is There Life Out There?,1994,21,5,12,13,37
It Could Happen to You,1994,13,18,6,18,2
It's Pat,1994,19,3,6,18,2
Jacob,1994,21,5,21,8,20
Jason's Lyric,1994,0,17,20,5,2
Jimmy Hollywood,1994,20,2,8,6,21
Junior,1994,0,17,6,18,18
Kickboxer 4,1994,17,1,20,18,2
Killing Zoe,1994,20,2,11,18,29
Knight Rider 2010,1994,4,11,20,2,2
The Land Before Time II: The Great Valley Adventure,1994,19,13,14,18,18
Lassie,1994,14,22,6,5,18
The Last Seduction,1994,5,6,16,6,2
Legends of the Fall,1994,14,16,8,0,2
Leprechaun 2,1994,0,17,20,5,2
The Lion King,1994,19,13,15,18,2
Little Big League,1994,0,17,21,18,2
Little Buddha,1994,7,21,3,0,2
Little Giants,1994,8,8,2,18,2
Little Odessa,1994,3,14,20,6,45
The Little Rascals,1994,19,18,6,5,2
Little Women,1994,12,22,1,5,29
Love Affair,1994,10,17,17,18,2
Love and a .45,1994,13,18,2,18,11
A Low Down Dirty Shame,1994,6,20,5,12,16
The Lurking Fear,1994,13,18,18,8,34
Major League II,1994,0,21,6,18,2
Mary Shelley's Frankenstein,1994,19,13,18,18,2
The Mask,1994,20,2,6,5,2
Maverick,1994,13,18,20,18,2
Men of War,1994,9,7,6,22,2
Midnight Run for Your Life,1994,13,5,16,15,2
Milk Money,1994,13,3,20,14,2
A Million to Juan,1994,21,5,6,18,2
Miracle on 34th Street,1994,0,17,6,18,2
Mixed Nuts,1994,16,2,13,18,2
Monkey Trouble,1994,18,10,11,18,2
The Monster,1994,20,2,6,12,2
Multi-Facial,1994,0,14,21,6,17
My Father the Hero,1994,8,3,5,9,2
My Girl 2,1994,15,9,6,18,2
My Summer Story,1994,11,12,3,8,16
Naked Gun 33⅓: The Final Insult,1994,20,2,6,5,18
National Lampoon's Last Resort,1994,11,3,22,8,37
Natural Born Killers,1994,6,20,21,18,37
Nell,1994,15,9,6,18,2
The Next Karate Kid,1994,1,15,10,18,2
No Escape,1994,2,20,6,18,2
Nobody's Fool,1994,14,16,6,18,15
North,1994,0,17,18,18,2
On Deadly Ground,1994,6,20,6,18,2
Only You,1994,21,3,6,22,17
Out of Darkness,1994,7,3,22,1,43
PCU,1994,18,10,22,18,29
The Pagemaster,1994,19,13,18,13,37
The Paper,1994,20,2,6,18,2
Party,1994,7,21,6,18,17
Pentathlon,1994,16,11,13,6,2
Pet Shop,1994,7,21,22,18,31
Phantasm III: Lord of the Dead,1994,3,14,8,0,2
Police Academy: Mission to Moscow,1994,13,18,19,15,28
Pontiac Moon,1994,14,16,20,5,2
Princess Caraboo,1994,0,17,6,5,2
Pulp Fiction,1994,16,19,21,18,2
Pumpkinhead II: Blood Wings,1994,5,6,21,18,37
Puppet Master 5: The Final Chapter,1994,19,13,18,5,2
The Puppet Masters,1994,3,14,6,18,2
Quiz Show,1994,10,21,16,18,2
Radio Inside,1994,4,11,21,18,36
Radioland Murders,1994,6,20,11,18,18
Rapa Nui,1994,4,11,6,5,2
Raw Justice,1994,6,20,6,9,4
Reality Bites,1994,10,0,21,18,2
The Ref,1994,20,3,6,18,33
Renaissance Man,1994,8,8,5,18,2
Revenge of the Nerds IV: Nerds in Love,1994,4,11,3,18,17
Richie Rich,1994,12,22,10,18,2
The River Wild,1994,19,4,6,18,25
The Road to Wellville,1994,14,16,7,18,2
Roadracers,1994,17,1,21,6,2
Romeo Is Bleeding,1994,16,20,16,6,26
The Jungle Book,1994,6,20,8,7,2
S.F.W.,1994,6,20,6,13,2
The Santa Clause,1994,19,3,6,18,32
Scooby-Doo in Arabian Nights,1994,21,5,21,5,2
The Scout,1994,7,21,10,18,2
The Secret of Roan Inish,1994,12,22,14,11,2
Serial Mom,1994,12,22,21,18,2
The Shadow,1994,19,13,6,5,2
Shatter Dead,1994,22,19,2,18,2
The Shawshank Redemption,1994,13,18,8,18,18
The Silence of the Hams,1994,5,6,14,12,23
Silent Fall,1994,5,6,21,0,28
Silent Tongue,1994,14,16,16,18,16
A Simple Twist of Fate,1994,15,9,20,18,2
Sioux City,1994,15,9,17,1,2
Spanking the Monkey,1994,14,0,5,5,37
The Specialist,1994,16,20,16,18,2
Speechless,1994,21,5,17,21,36
Speed,1994,20,2,6,18,18
Squanto: A Warrior's Tale,1994,19,13,20,18,44
The Stand,1994,6,20,6,18,2
Star Trek Generations,1994,19,13,6,18,2
Stargate,1994,2,4,1,18,2
Street Fighter,1994,17,1,8,5,2
The Stoned Age,1994,20,2,6,18,2
Sugar Hill,1994,16,16,18,18,32
Surviving the Game,1994,3,14,6,6,2
The Swan Princess,1994,21,5,21,5,18
Swimming with Sharks,1994,0,21,16,18,2
Texas Chainsaw Massacre: The Next Generation,1994,18,4,8,18,2
Threesome,1994,21,5,1,8,0
Thumbelina,1994,21,5,12,18,2
Time Chasers,1994,11,12,20,18,18
A Time to Heal,1994,15,9,22,0,2
Timecop,1994,16,13,6,18,2
Tom & Viv,1994,11,0,7,12,5
Trapped in Paradise,1994,13,19,6,5,2
Trial by Jury,1994,14,16,11,20,36
A Troll in Central Park,1994,19,13,1,4,2
Troublemakers,1994,12,22,6,0,11
True Lies,1994,2,4,2,6,2
Undefeatable,1994,17,4,20,6,2
Wagons East!,1994,9,7,20,14,2
The War,1994,18,10,10,18,18
Wes Craven's New Nightmare,1994,11,12,10,18,19
What Happened Was,1994,8,8,2,4,8
When a Man Loves a Woman,1994,0,17,1,11,2
White Fang 2: Myth of the White Wolf,1994,19,17,6,18,2
With Honors,1994,10,17,6,6,2
Without Warning,1994,7,21,6,18,2
Wolf,1994,16,6,1,18,2
Wyatt Earp,1994,10,21,6,6,2
The Yearling,1994,0,17,19,18,30
3 Ninjas Knuckle Up,1995,4,11,14,18,2
Above Suspicion,1995,20,2,16,2,6
Ace Ventura: When Nature Calls,1995,19,13,8,5,2
The Addiction,1995,0,17,3,2,17
Amanda and the Alien,1995,7,21,18,18,22
The Amazing Panda Adventure,1995,15,9,13,5,43
The American President,1995,18,10,6,5,26
Angela,1995,15,9,18,18,2
Angels and Insects,1995,0,17,20,18,37
Angus,1995,1,15,6,18,2
Apollo 13,1995,0,17,13,18,2
Assassins,1995,6,20,21,4,44
Attack of the 60 Foot Centerfold,1995,19,3,6,5,20
Babe,1995,18,10,16,18,2
The Baby-Sitters Club,1995,4,3,6,13,14
Bad Boys,1995,6,4,21,18,2
Bad Company,1995,5,6,5,10,2
Balto,1995,19,13,12,18,2
Bang,1995,8,8,1,6,32
The Basketball Diaries,1995,8,8,16,18,2
Batman Forever,1995,6,20,6,20,2
Baywatch the Movie: Forbidden Paradise,1995,7,21,19,16,23
Before Sunrise,1995,0,17,19,20,2
Beyond Rangoon,1995,9,7,6,18,7
The Big Green,1995,8,8,20,18,2
Billy Madison,1995,1,15,6,18,2
Black Scorpion,1995,5,6,20,15,22
Bloodfist VI: Ground Zero,1995,7,21,7,20,2
Blue in the Face,1995,11,12,21,22,4
Born to Be Wild,1995,15,9,1,22,22
Boys on the Side,1995,10,3,21,18,15
The Brady Bunch Movie,1995,18,10,6,7,18
Braveheart,1995,14,16,4,5,2
The Bridges of Madison County,1995,15,9,6,18,2
The Brothers McMullen,1995,4,0,5,4,2
Bushwhacked,1995,2,13,13,11,21
Bye Bye Love,1995,11,12,17,18,2
Canadian Bacon,1995,19,13,16,18,2
Candyman 2: Farewell to the Flesh,1995,6,6,21,12,2
Carnosaur 2,1995,19,13,22,18,2
Casino,1995,13,18,6,6,2
Casper,1995,4,11,21,18,16
Castle Freak,1995,14,16,21,14,2
Catherine the Great,1995,7,21,0,6,10
Children of the Corn III: Urban Harvest,1995,1,4,17,18,2
Citizen X,1995,5,6,6,6,2
Clockers,1995,16,19,8,18,4
Clueless,1995,1,15,17,18,37
Coldblooded,1995,21,5,13,11,44
Congo,1995,9,3,8,18,20
Copycat,1995,6,20,16,15,0
Crimson Tide,1995,2,13,17,18,2
The Crossing Guard,1995,16,10,10,21,2
"Cry, the Beloved Country",1995,14,14,16,2,34
The Cure,1995,15,9,11,0,2
Cutthroat Island,1995,2,13,6,6,2
Cyborg Cop II,1995,6,20,2,14,2
Dangerous Minds,1995,1,15,6,18,2
Dead Man,1995,6,20,21,18,2
Dead Man Walking,1995,4,11,11,18,2
Dead Presidents,1995,20,2,16,18,2
Demon Knight,1995,16,20,6,14,2
Desperado,1995,6,20,0,8,21
Devil in a Blue Dress,1995,16,18,19,18,25
Die Hard with a Vengeance,1995,20,2,2,5,2
Dolores Claiborne,1995,5,6,17,18,2
Don Juan DeMarco,1995,21,3,11,17,42
The Doom Generation,1995,2,4,6,5,44
Dr. Jekyll and Ms. Hyde,1995,19,21,6,18,2
Dracula: Dead and Loving It,1995,2,13,11,18,2
Dream a Little Dream 2,1995,7,21,2,9,41
Ebbie,1995,8,8,6,18,3
Empire Records,1995,13,18,10,18,2
Evolver,1995,16,10,7,18,9
Eyes Beyond Seeing,1995,7,14,4,12,22
Fair Game,1995,6,20,21,18,21
Fall Time,1995,7,21,11,5,15
Far from Home: The Adventures of Yellow Dog,1995,0,17,6,18,2
Father of the Bride Part II,1995,18,10,6,18,2
First Knight,1995,21,5,20,18,2
Flirt,1995,21,3,17,3,2
Fluke,1995,3,16,6,18,12
Forget Paris,1995,10,17,21,18,2
Four Rooms,1995,7,17,16,18,2
Free Willy 2: The Adventure Home,1995,15,9,13,18,18
French Kiss,1995,19,17,7,8,18
Friday,1995,13,18,17,18,2
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,1995,0,17,21,18,15
Full Body Massage,1995,7,0,20,18,9
Funny Bones,1995,4,11,10,19,15
Get Shorty,1995,13,18,4,14,2
The Glass Shield,1995,5,6,6,18,2
Gold Diggers: The Secret of Bear Mountain,1995,18,3,18,18,2
A Goofy Movie,1995,22,16,20,18,24
Gordy,1995,12,22,6,11,2
The Great Mom Swap,1995,12,3,17,18,2
Grumpier Old Men,1995,4,3,5,18,2
Gumby: The Movie,1995,7,21,11,12,23
Hackers,1995,1,15,16,6,30
Halloween: The Curse of Michael Myers,1995,18,3,11,18,32
Harrison Bergeron,1995,20,2,16,18,2
Haunted,1995,18,10,6,19,2
Heat,1995,20,2,16,18,2
Heavy,1995,15,9,13,18,2
Heavyweights,1995,10,17,6,18,2
Here Come The Munsters,1995,12,22,12,8,10
Hideaway,1995,5,6,6,18,37
Higher Learning,1995,10,17,8,18,2
The Hills Have Eyes III,1995,14,16,1,14,20
Home for the Holidays,1995,12,22,13,5,17
Houseguest,1995,7,21,6,18,2
The Hunted,1995,6,20,6,18,2
Ice Cream Man,1995,3,14,11,16,2
The Immortals,1995,9,7,16,18,27
In the Mouth of Madness,1995,0,17,18,8,13
The Incredibly True Adventure of Two Girls in Love,1995,1,3,17,18,26
The Indian in the Cupboard,1995,0,17,6,18,2
It Takes Two,1995,10,3,7,18,2
Jack-O,1995,12,22,15,8,0
Jade,1995,16,10,6,18,26
Jefferson in Paris,1995,7,21,20,18,2
Jeffrey,1995,21,5,16,3,2
The Jerky Boys: The Movie,1995,18,10,6,18,2
Johnny Mnemonic,1995,6,20,21,20,2
Joseph,1995,14,16,6,18,2
Judge Dredd,1995,5,6,8,5,2
Jumanji,1995,8,3,6,18,2
Jury Duty,1995,5,6,6,18,2
Just Cause,1995,5,6,19,18,20
A Kid in King Arthur's Court,1995,7,21,10,18,30
Kidnapped,1995,5,6,1,18,2
Kids,1995,18,10,20,18,2
Kiss of Death,1995,22,19,5,18,2
The Land Before Time III: The Time of the Great Giving,1995,19,21,1,18,2
Last of the Dogmen,1995,19,13,5,12,18
Leaving Las Vegas,1995,10,17,20,17,2
Life 101,1995,8,8,21,17,26
A Little Princess,1995,4,15,6,0,2
Living in Oblivion,1995,15,3,21,18,2
Lord of Illusions,1995,2,13,6,18,2
Losing Isaiah,1995,15,9,6,0,2
Mad Love,1995,1,15,6,18,19
Magic in the Water,1995,3,14,18,7,8
Magic Island (film),1995,21,5,6,22,16
Major Payne,1995,1,15,20,18,2
Mallrats,1995,10,0,15,8,37
Man of the House,1995,4,11,6,18,18
The Mangler,1995,20,2,1,16,27
Margaret's Museum,1995,3,14,16,14,45
Miami Rhapsody,1995,12,3,11,18,2
A Midwinter's Tale,1995,8,3,0,6,21
Mighty Aphrodite,1995,10,17,20,4,32
Mighty Morphin Power Rangers: The Movie,1995,19,13,8,18,33
Money Train,1995,13,18,6,5,2
Moonlight and Valentino,1995,15,9,18,18,37
Mortal Kombat,1995,17,1,5,6,2
Mortal Kombat: The Journey Begins,1995,17,1,5,6,2
Mr. Holland's Opus,1995,1,15,13,18,2
Multi-Facial,1995,0,14,21,6,17
Murder in the First,1995,5,6,20,18,41
My Family,1995,14,16,6,18,2
National Lampoon's Senior Trip,1995,1,15,17,18,12
The Nature of the Beast,1995,22,19,21,18,2
The Net,1995,6,20,16,18,2
Never Talk to Strangers,1995,4,11,15,18,9
Nick of Time,1995,16,21,20,22,2
Night Watch,1995,7,3,19,5,6
Nine Months,1995,10,3,13,15,5
Nixon,1995,11,3,13,18,2
No Exit,1995,7,13,4,11,25
Now and Then,1995,15,9,20,18,2
Operation Dumbo Drop,1995,2,13,6,0,2
Othello,1995,17,1,13,9,2
The Other Woman,1995,4,11,3,6,25
Outbreak,1995,19,13,10,7,18
Palookaville,1995,13,18,20,16,21
Panther,1995,11,12,5,18,2
Parallel Sons,1995,3,14,9,18,35
The Passion of Darkly Noon,1995,21,5,19,7,2
Payback,1995,13,18,21,17,23
The Pebble and the Penguin,1995,19,13,6,18,2
Persuasion,1995,12,22,6,18,2
Picture Bride,1995,0,17,20,18,2
Piranha,1995,2,4,21,18,18
Pocahontas,1995,17,1,1,5,2
Powder,1995,0,16,11,18,2
The Power Within,1995,3,14,22,8,25
Problem Child 3: Junior in Love,1995,8,8,20,5,2
The Prophecy,1995,0,4,6,18,2
The Quick and the Dead,1995,17,1,16,18,2
Reckless,1995,7,21,20,12,19
Restoration,1995,21,5,21,18,2
Rob Roy,1995,13,18,10,18,2
Roommates,1995,3,14,8,18,33
Runaway Brain,1995,19,13,21,18,2
Sabrina,1995,21,5,11,18,30
Safe,1995,7,21,20,18,32
Sailor Moon SuperS movie,1995,2,13,3,18,2
The Scarlet Letter,1995,4,11,11,6,25
Screamers,1995,9,7,8,5,2
Sense and Sensibility,1995,21,5,6,22,2
Seven,1995,5,6,6,18,37
The Set-Up,1995,7,21,21,10,39
Showgirls,1995,0,17,16,18,2
Skin,1995,7,21,19,3,16
Slam Dunk Ernest,1995,8,8,19,18,2
Sleepstalker,1995,12,22,8,9,24
Smoke,1995,11,12,2,9,36
Soldier Boyz,1995,9,7,4,0,45
Species,1995,6,20,14,12,2
The Stars Fell on Henrietta,1995,3,14,5,22,5
Stonewall,1995,0,17,13,18,2
Strange Days,1995,22,19,1,5,10
Stuart Saves His Family,1995,15,0,5,4,2
Sudden Death,1995,14,16,21,18,2
The Surrogate,1995,0,3,6,18,2
Tank Girl,1995,6,20,2,18,2
Theodore Rex,1995,20,3,15,7,10
The Thief and the Cobbler,1995,19,13,20,18,2
Things to Do in Denver When You're Dead,1995,3,14,17,0,2
Three Wishes,1995,4,3,6,18,2
The Tie That Binds,1995,18,3,6,0,28
To Die For,1995,5,3,18,22,2
"To Wong Foo, Thanks for Everything! Julie Newmar",1995,22,3,6,18,2
To the Limit,1995,8,8,5,5,2
Tom and Huck,1995,6,4,17,18,28
Tommy Boy,1995,4,3,20,18,2
Top Dog,1995,20,2,2,0,2
Toy Story,1995,18,10,20,18,29
Twelve Monkeys,1995,9,7,8,8,17
Two Bits,1995,7,21,17,5,40
Under Siege 2: Dark Territory,1995,22,19,13,10,2
Underneath,1995,15,9,20,19,34
The Usual Suspects,1995,16,20,18,18,37
Vampire in Brooklyn,1995,5,6,16,18,25
Village of the Damned,1995,16,13,6,18,2
Virtuosity,1995,6,20,14,11,9
Waiting to Exhale,1995,21,5,22,18,2
A Walk in the Clouds,1995,12,22,8,18,2
The Walking Dead,1995,6,20,5,9,18
Waterworld,1995,19,13,13,5,18
Welcome to the Dollhouse,1995,1,15,6,18,2
While You Were Sleeping,1995,21,5,6,12,2
White Man's Burden,1995,20,2,6,5,2
Wild Bill,1995,3,0,17,7,23
Wild Side,1995,7,3,0,14,5
Wings of Courage,1995,9,7,20,22,7
Without Evidence,1995,5,6,13,18,29
101 Dalmatians,1996,19,4,13,7,16
2 Days in the Valley,1996,16,20,7,2,37
Adrenalin: Fear the Rush,1996,6,20,2,8,30
The Adventures of Pinocchio,1996,4,11,6,18,2
Aladdin and the King of Thieves,1996,4,11,20,18,7
Alaska,1996,4,11,21,18,2
Alien Nation: Millennium,1996,11,12,6,12,32
Alien Nation: The Enemy Within,1996,9,7,0,22,32
All Dogs Go to Heaven 2,1996,19,13,13,18,10
Amityville Dollhouse,1996,18,10,17,22,35
Andersonville,1996,9,7,8,18,2
The Arrival,1996,19,13,6,18,2
The Associate,1996,3,14,20,18,2
Back to Back,1996,20,2,21,8,25
Bad Moon,1996,18,10,6,18,2
Barb Wire,1996,20,13,16,13,2
Basquiat,1996,11,12,21,15,2
Bastard Out of Carolina,1996,22,19,21,18,2
The Beast,1996,2,14,11,16,36
Beautiful Girls,1996,1,15,19,0,25
Beavis and Butt-Head Do America,1996,18,10,11,18,2
Bed of Roses,1996,0,17,11,10,37
